order_id,customer_id,customer_name,city,state,product_id,product_name,category,quantity,unit_price,total_amount,order_date,status
51,206,Customer 206,Niterói,PR,1,Notebook Pro,Computers,3,5500.0,16500.0,2026-02-27,completed
52,111,Customer 111,Niterói,BA,6,Mouse Wireless,Accessories,2,180.0,360.0,2026-01-21,cancelled
53,463,Customer 463,Porto Alegre,BA,5,Keyboard Mechanical,Accessories,3,450.0,1350.0,2026-03-05,completed
54,28,Customer 28,Salvador,SP,4,Monitor 27,Monitors,4,1800.0,7200.0,2026-01-09,completed
55,55,Customer 55,Belo Horizonte,DF,10,USB Hub,Accessories,2,150.0,300.0,2026-03-30,cancelled
56,329,Customer 329,São Paulo,DF,8,Webcam HD,Accessories,1,350.0,350.0,2026-06-20,cancelled
57,370,Customer 370,Salvador,RJ,4,Monitor 27,Monitors,3,1800.0,5400.0,2026-06-26,completed
58,454,Customer 454,Rio de Janeiro,MG,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-01-12,completed
59,430,Customer 430,Porto Alegre,RS,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-02-25,cancelled
60,132,Customer 132,Curitiba,MG,7,Headset Pro,Accessories,2,650.0,1300.0,2026-05-03,completed
61,201,Customer 201,Niterói,PR,7,Headset Pro,Accessories,4,650.0,2600.0,2026-07-01,completed
62,128,Customer 128,Salvador,MG,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-06-10,cancelled
63,175,Customer 175,Porto Alegre,RS,8,Webcam HD,Accessories,3,350.0,1050.0,2026-05-06,cancelled
64,355,Customer 355,Brasília,MG,6,Mouse Wireless,Accessories,2,180.0,360.0,2026-03-13,completed
65,138,Customer 138,Rio de Janeiro,MG,6,Mouse Wireless,Accessories,4,180.0,720.0,2026-01-28,cancelled
66,340,Customer 340,Brasília,DF,1,Notebook Pro,Computers,2,5500.0,11000.0,2026-02-14,completed
67,359,Customer 359,Rio de Janeiro,RS,5,Keyboard Mechanical,Accessories,3,450.0,1350.0,2026-04-18,completed
68,320,Customer 320,Salvador,DF,3,Monitor 24,Monitors,3,1200.0,3600.0,2026-08-27,completed
69,69,Customer 69,Rio de Janeiro,RS,2,Notebook Air,Computers,2,3800.0,7600.0,2026-05-08,completed
70,428,Customer 428,Salvador,MG,8,Webcam HD,Accessories,3,350.0,1050.0,2026-08-27,completed
71,197,Customer 197,Niterói,BA,5,Keyboard Mechanical,Accessories,4,450.0,1800.0,2026-01-15,completed
72,173,Customer 173,Salvador,RS,2,Notebook Air,Computers,1,3800.0,3800.0,2026-04-29,completed
73,34,Customer 34,Curitiba,SP,4,Monitor 27,Monitors,1,1800.0,1800.0,2026-01-20,completed
74,151,Customer 151,Salvador,PR,5,Keyboard Mechanical,Accessories,4,450.0,1800.0,2026-01-05,completed
75,172,Customer 172,Rio de Janeiro,RS,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-07-30,cancelled
76,482,Customer 482,Salvador,RS,8,Webcam HD,Accessories,2,350.0,700.0,2026-08-18,completed
77,143,Customer 143,Niterói,BA,4,Monitor 27,Monitors,4,1800.0,7200.0,2026-08-23,completed
78,281,Customer 281,Niterói,DF,4,Monitor 27,Monitors,4,1800.0,7200.0,2026-02-26,cancelled
79,265,Customer 265,Brasília,MG,10,USB Hub,Accessories,3,150.0,450.0,2026-03-15,completed
80,310,Customer 310,Rio de Janeiro,DF,7,Headset Pro,Accessories,1,650.0,650.0,2026-05-22,completed
81,121,Customer 121,Belo Horizonte,PR,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-07-24,completed
82,174,Customer 174,Porto Alegre,RJ,9,SSD 1TB,Storage,1,700.0,700.0,2026-02-07,completed
83,281,Customer 281,Niterói,DF,3,Monitor 24,Monitors,3,1200.0,3600.0,2026-01-15,completed
84,318,Customer 318,Porto Alegre,RJ,5,Keyboard Mechanical,Accessories,4,450.0,1800.0,2026-07-07,completed
85,498,Customer 498,Niterói,MG,6,Mouse Wireless,Accessories,2,180.0,360.0,2026-08-16,completed
86,336,Customer 336,Salvador,BA,10,USB Hub,Accessories,1,150.0,150.0,2026-07-14,cancelled
87,93,Customer 93,Salvador,SP,2,Notebook Air,Computers,2,3800.0,7600.0,2026-04-23,completed
88,214,Customer 214,Belo Horizonte,BA,7,Headset Pro,Accessories,1,650.0,650.0,2026-01-25,cancelled
89,257,Customer 257,Porto Alegre,BA,10,USB Hub,Accessories,2,150.0,300.0,2026-07-06,completed
90,470,Customer 470,Brasília,RJ,10,USB Hub,Accessories,3,150.0,450.0,2026-01-09,completed
91,21,Customer 21,Curitiba,MG,1,Notebook Pro,Computers,1,5500.0,5500.0,2026-03-12,completed
92,493,Customer 493,Salvador,SP,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-01-16,completed
93,157,Customer 157,São Paulo,BA,1,Notebook Pro,Computers,1,5500.0,5500.0,2026-07-08,cancelled
94,318,Customer 318,Porto Alegre,RJ,4,Monitor 27,Monitors,3,1800.0,5400.0,2026-01-27,completed
95,350,Customer 350,São Paulo,RS,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-08-03,cancelled
96,246,Customer 246,Rio de Janeiro,MG,4,Monitor 27,Monitors,1,1800.0,1800.0,2026-03-14,completed
97,1,Customer 1,Rio de Janeiro,RJ,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-02-06,completed
98,82,Customer 82,Belo Horizonte,BA,1,Notebook Pro,Computers,1,5500.0,5500.0,2026-07-26,completed
99,245,Customer 245,Porto Alegre,BA,1,Notebook Pro,Computers,1,5500.0,5500.0,2026-03-07,completed
100,276,Customer 276,Belo Horizonte,DF,8,Webcam HD,Accessories,2,350.0,700.0,2026-04-14,cancelled
101,131,Customer 131,Curitiba,BA,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-05-07,completed
102,458,Customer 458,Porto Alegre,RS,5,Keyboard Mechanical,Accessories,4,450.0,1800.0,2026-02-27,completed
103,115,Customer 115,Curitiba,RS,8,Webcam HD,Accessories,1,350.0,350.0,2026-03-21,completed
104,242,Customer 242,Curitiba,BA,1,Notebook Pro,Computers,2,5500.0,11000.0,2026-08-11,completed
105,76,Customer 76,Belo Horizonte,MG,7,Headset Pro,Accessories,1,650.0,650.0,2026-02-15,completed
106,11,Customer 11,Curitiba,DF,10,USB Hub,Accessories,1,150.0,150.0,2026-02-03,completed
107,95,Customer 95,Brasília,MG,9,SSD 1TB,Storage,1,700.0,700.0,2026-08-11,completed
108,354,Customer 354,Belo Horizonte,SP,7,Headset Pro,Accessories,2,650.0,1300.0,2026-01-27,completed
109,285,Customer 285,Belo Horizonte,PR,3,Monitor 24,Monitors,2,1200.0,2400.0,2026-01-22,completed
110,247,Customer 247,Salvador,PR,1,Notebook Pro,Computers,1,5500.0,5500.0,2026-07-23,cancelled
111,310,Customer 310,Rio de Janeiro,DF,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-05-08,cancelled
112,498,Customer 498,Niterói,MG,9,SSD 1TB,Storage,1,700.0,700.0,2026-07-04,completed
113,460,Customer 460,Rio de Janeiro,MG,6,Mouse Wireless,Accessories,2,180.0,360.0,2026-03-01,cancelled
114,455,Customer 455,Curitiba,BA,10,USB Hub,Accessories,1,150.0,150.0,2026-05-25,completed
115,407,Customer 407,Belo Horizonte,MG,2,Notebook Air,Computers,1,3800.0,3800.0,2026-06-25,completed
116,57,Customer 57,Curitiba,BA,7,Headset Pro,Accessories,1,650.0,650.0,2026-07-11,completed
117,208,Customer 208,Brasília,RS,7,Headset Pro,Accessories,1,650.0,650.0,2026-05-04,cancelled
118,431,Customer 431,Rio de Janeiro,PR,1,Notebook Pro,Computers,3,5500.0,16500.0,2026-01-19,completed
119,10,Customer 10,Rio de Janeiro,SP,8,Webcam HD,Accessories,1,350.0,350.0,2026-04-02,completed
120,423,Customer 423,Salvador,PR,8,Webcam HD,Accessories,1,350.0,350.0,2026-06-23,completed
121,159,Customer 159,Curitiba,RJ,2,Notebook Air,Computers,4,3800.0,15200.0,2026-07-17,completed
122,119,Customer 119,São Paulo,RJ,2,Notebook Air,Computers,3,3800.0,11400.0,2026-05-22,completed
123,347,Customer 347,Brasília,SP,1,Notebook Pro,Computers,1,5500.0,5500.0,2026-06-10,cancelled
124,61,Customer 61,Brasília,PR,10,USB Hub,Accessories,1,150.0,150.0,2026-05-02,completed
125,9,Customer 9,São Paulo,SP,6,Mouse Wireless,Accessories,4,180.0,720.0,2026-08-09,completed
126,195,Customer 195,Brasília,RJ,2,Notebook Air,Computers,2,3800.0,7600.0,2026-05-20,cancelled
127,441,Customer 441,Brasília,RS,5,Keyboard Mechanical,Accessories,2,450.0,900.0,2026-01-22,completed
128,92,Customer 92,Salvador,DF,3,Monitor 24,Monitors,3,1200.0,3600.0,2026-05-29,completed
129,298,Customer 298,Belo Horizonte,PR,2,Notebook Air,Computers,1,3800.0,3800.0,2026-04-17,completed
130,489,Customer 489,Salvador,SP,9,SSD 1TB,Storage,1,700.0,700.0,2026-06-08,completed
131,298,Customer 298,Belo Horizonte,PR,2,Notebook Air,Computers,1,3800.0,3800.0,2026-01-13,cancelled
132,420,Customer 420,Curitiba,RS,3,Monitor 24,Monitors,2,1200.0,2400.0,2026-07-28,completed
133,277,Customer 277,Belo Horizonte,MG,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-02-14,cancelled
134,267,Customer 267,Belo Horizonte,RS,8,Webcam HD,Accessories,3,350.0,1050.0,2026-06-11,completed
135,380,Customer 380,Niterói,RS,8,Webcam HD,Accessories,4,350.0,1400.0,2026-03-05,completed
136,463,Customer 463,Porto Alegre,BA,6,Mouse Wireless,Accessories,4,180.0,720.0,2026-04-11,completed
137,399,Customer 399,Niterói,RJ,4,Monitor 27,Monitors,2,1800.0,3600.0,2026-01-09,completed
138,470,Customer 470,Brasília,RJ,1,Notebook Pro,Computers,3,5500.0,16500.0,2026-04-08,cancelled
139,198,Customer 198,Rio de Janeiro,RS,2,Notebook Air,Computers,2,3800.0,7600.0,2026-06-07,completed
140,180,Customer 180,Curitiba,DF,10,USB Hub,Accessories,1,150.0,150.0,2026-02-05,completed
141,100,Customer 100,São Paulo,RS,10,USB Hub,Accessories,4,150.0,600.0,2026-06-12,cancelled
142,122,Customer 122,Porto Alegre,PR,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-08-07,completed
143,367,Customer 367,Belo Horizonte,BA,7,Headset Pro,Accessories,4,650.0,2600.0,2026-07-30,completed
144,207,Customer 207,Salvador,RJ,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-04-01,completed
145,366,Customer 366,Curitiba,RS,6,Mouse Wireless,Accessories,3,180.0,540.0,2026-06-06,cancelled
146,223,Customer 223,Porto Alegre,BA,2,Notebook Air,Computers,3,3800.0,11400.0,2026-05-17,cancelled
147,433,Customer 433,Salvador,SP,9,SSD 1TB,Storage,3,700.0,2100.0,2026-06-17,completed
148,2,Customer 2,Salvador,RS,3,Monitor 24,Monitors,2,1200.0,2400.0,2026-01-24,completed
149,12,Customer 12,Brasília,BA,3,Monitor 24,Monitors,4,1200.0,4800.0,2026-04-19,cancelled
150,403,Customer 403,Niterói,SP,8,Webcam HD,Accessories,4,350.0,1400.0,2026-04-01,cancelled
151,198,Customer 198,Rio de Janeiro,RS,7,Headset Pro,Accessories,1,650.0,650.0,2026-05-31,completed
152,286,Customer 286,Brasília,RS,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-05-26,completed
153,301,Customer 301,Niterói,RJ,6,Mouse Wireless,Accessories,4,180.0,720.0,2026-01-03,completed
154,34,Customer 34,Curitiba,SP,2,Notebook Air,Computers,1,3800.0,3800.0,2026-04-22,completed
155,198,Customer 198,Rio de Janeiro,RS,8,Webcam HD,Accessories,1,350.0,350.0,2026-03-28,completed
156,154,Customer 154,Niterói,BA,7,Headset Pro,Accessories,1,650.0,650.0,2026-02-08,completed
157,478,Customer 478,Rio de Janeiro,RS,8,Webcam HD,Accessories,1,350.0,350.0,2026-01-06,completed
158,237,Customer 237,Porto Alegre,BA,8,Webcam HD,Accessories,2,350.0,700.0,2026-01-24,cancelled
159,140,Customer 140,Belo Horizonte,DF,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-03-24,cancelled
160,240,Customer 240,Porto Alegre,DF,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-02-14,completed
161,130,Customer 130,Porto Alegre,MG,2,Notebook Air,Computers,1,3800.0,3800.0,2026-04-19,completed
162,45,Customer 45,Rio de Janeiro,BA,10,USB Hub,Accessories,1,150.0,150.0,2026-04-26,completed
163,248,Customer 248,Belo Horizonte,MG,9,SSD 1TB,Storage,1,700.0,700.0,2026-06-10,completed
164,68,Customer 68,Niterói,SP,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-03-02,cancelled
165,439,Customer 439,Rio de Janeiro,PR,8,Webcam HD,Accessories,4,350.0,1400.0,2026-03-14,completed
166,307,Customer 307,Niterói,PR,10,USB Hub,Accessories,1,150.0,150.0,2026-08-24,cancelled
167,36,Customer 36,Rio de Janeiro,SP,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-05-21,cancelled
168,112,Customer 112,Salvador,PR,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-03-14,completed
169,423,Customer 423,Salvador,PR,8,Webcam HD,Accessories,2,350.0,700.0,2026-07-15,completed
170,261,Customer 261,Salvador,SP,2,Notebook Air,Computers,1,3800.0,3800.0,2026-05-10,completed
171,81,Customer 81,Brasília,RJ,2,Notebook Air,Computers,3,3800.0,11400.0,2026-04-19,completed
172,263,Customer 263,Niterói,DF,8,Webcam HD,Accessories,3,350.0,1050.0,2026-05-20,completed
173,186,Customer 186,Belo Horizonte,BA,9,SSD 1TB,Storage,1,700.0,700.0,2026-07-22,completed
174,16,Customer 16,Salvador,RJ,8,Webcam HD,Accessories,1,350.0,350.0,2026-07-01,completed
175,471,Customer 471,Porto Alegre,MG,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-05-25,completed
176,364,Customer 364,Brasília,BA,2,Notebook Air,Computers,1,3800.0,3800.0,2026-08-03,completed
177,424,Customer 424,Curitiba,SP,7,Headset Pro,Accessories,1,650.0,650.0,2026-02-12,completed
178,31,Customer 31,Belo Horizonte,RS,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-04-09,completed
179,356,Customer 356,Brasília,BA,2,Notebook Air,Computers,3,3800.0,11400.0,2026-07-30,completed
180,374,Customer 374,Niterói,RJ,4,Monitor 27,Monitors,2,1800.0,3600.0,2026-07-29,completed
181,125,Customer 125,Salvador,RS,4,Monitor 27,Monitors,1,1800.0,1800.0,2026-06-22,completed
182,19,Customer 19,Salvador,PR,10,USB Hub,Accessories,1,150.0,150.0,2026-02-08,cancelled
183,389,Customer 389,Brasília,RJ,4,Monitor 27,Monitors,2,1800.0,3600.0,2026-01-01,completed
184,226,Customer 226,Niterói,RJ,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-04-28,completed
185,218,Customer 218,Rio de Janeiro,PR,4,Monitor 27,Monitors,1,1800.0,1800.0,2026-07-17,completed
186,92,Customer 92,Salvador,DF,10,USB Hub,Accessories,1,150.0,150.0,2026-01-31,completed
187,477,Customer 477,Salvador,RJ,2,Notebook Air,Computers,1,3800.0,3800.0,2026-07-19,completed
188,480,Customer 480,Rio de Janeiro,PR,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-05-13,completed
189,16,Customer 16,Salvador,RJ,4,Monitor 27,Monitors,1,1800.0,1800.0,2026-07-28,completed
190,1,Customer 1,Rio de Janeiro,RJ,4,Monitor 27,Monitors,4,1800.0,7200.0,2026-08-08,completed
191,233,Customer 233,Rio de Janeiro,DF,10,USB Hub,Accessories,1,150.0,150.0,2026-01-18,completed
192,331,Customer 331,Curitiba,SP,2,Notebook Air,Computers,3,3800.0,11400.0,2026-05-08,cancelled
193,410,Customer 410,Rio de Janeiro,RJ,9,SSD 1TB,Storage,3,700.0,2100.0,2026-02-04,completed
194,420,Customer 420,Curitiba,RS,2,Notebook Air,Computers,3,3800.0,11400.0,2026-04-23,cancelled
195,171,Customer 171,Rio de Janeiro,DF,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-06-12,cancelled
196,29,Customer 29,Curitiba,DF,8,Webcam HD,Accessories,2,350.0,700.0,2026-03-23,completed
197,376,Customer 376,Rio de Janeiro,PR,7,Headset Pro,Accessories,3,650.0,1950.0,2026-01-13,cancelled
198,106,Customer 106,Salvador,PR,10,USB Hub,Accessories,2,150.0,300.0,2026-02-20,completed
199,320,Customer 320,Salvador,DF,8,Webcam HD,Accessories,1,350.0,350.0,2026-03-10,completed
200,141,Customer 141,Brasília,RS,3,Monitor 24,Monitors,4,1200.0,4800.0,2026-08-26,completed
201,230,Customer 230,São Paulo,RS,8,Webcam HD,Accessories,1,350.0,350.0,2026-04-06,completed
202,394,Customer 394,Curitiba,DF,7,Headset Pro,Accessories,2,650.0,1300.0,2026-02-06,completed
203,461,Customer 461,Porto Alegre,SP,7,Headset Pro,Accessories,1,650.0,650.0,2026-02-06,completed
204,360,Customer 360,Porto Alegre,BA,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-06-23,completed
205,300,Customer 300,Rio de Janeiro,PR,1,Notebook Pro,Computers,2,5500.0,11000.0,2026-06-07,completed
206,263,Customer 263,Niterói,DF,4,Monitor 27,Monitors,2,1800.0,3600.0,2026-08-16,completed
207,340,Customer 340,Brasília,DF,10,USB Hub,Accessories,3,150.0,450.0,2026-01-22,completed
208,494,Customer 494,Curitiba,PR,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-01-10,cancelled
209,375,Customer 375,Brasília,RS,3,Monitor 24,Monitors,4,1200.0,4800.0,2026-06-28,completed
210,376,Customer 376,Rio de Janeiro,PR,7,Headset Pro,Accessories,1,650.0,650.0,2026-05-08,completed
211,474,Customer 474,Belo Horizonte,PR,8,Webcam HD,Accessories,1,350.0,350.0,2026-03-28,completed
212,198,Customer 198,Rio de Janeiro,RS,5,Keyboard Mechanical,Accessories,4,450.0,1800.0,2026-06-26,completed
213,360,Customer 360,Porto Alegre,BA,6,Mouse Wireless,Accessories,2,180.0,360.0,2026-02-05,completed
214,166,Customer 166,Salvador,RS,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-08-05,completed
215,172,Customer 172,Rio de Janeiro,RS,7,Headset Pro,Accessories,1,650.0,650.0,2026-04-07,completed
216,130,Customer 130,Porto Alegre,MG,2,Notebook Air,Computers,3,3800.0,11400.0,2026-04-16,completed
217,334,Customer 334,Salvador,SP,2,Notebook Air,Computers,2,3800.0,7600.0,2026-03-19,completed
218,153,Customer 153,Brasília,SP,1,Notebook Pro,Computers,4,5500.0,22000.0,2026-06-08,completed
219,99,Customer 99,Porto Alegre,RS,2,Notebook Air,Computers,3,3800.0,11400.0,2026-07-12,cancelled
220,376,Customer 376,Rio de Janeiro,PR,3,Monitor 24,Monitors,4,1200.0,4800.0,2026-07-25,completed
221,65,Customer 65,Belo Horizonte,DF,9,SSD 1TB,Storage,1,700.0,700.0,2026-02-11,cancelled
222,141,Customer 141,Brasília,RS,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-02-03,completed
223,456,Customer 456,Curitiba,RS,8,Webcam HD,Accessories,1,350.0,350.0,2026-08-07,cancelled
224,273,Customer 273,São Paulo,RJ,8,Webcam HD,Accessories,3,350.0,1050.0,2026-05-10,cancelled
225,306,Customer 306,São Paulo,BA,8,Webcam HD,Accessories,1,350.0,350.0,2026-05-20,completed
226,33,Customer 33,Rio de Janeiro,SP,4,Monitor 27,Monitors,3,1800.0,5400.0,2026-05-30,cancelled
227,200,Customer 200,Brasília,RJ,5,Keyboard Mechanical,Accessories,2,450.0,900.0,2026-05-05,completed
228,270,Customer 270,Curitiba,MG,5,Keyboard Mechanical,Accessories,2,450.0,900.0,2026-01-06,cancelled
229,306,Customer 306,São Paulo,BA,4,Monitor 27,Monitors,2,1800.0,3600.0,2026-08-19,completed
230,424,Customer 424,Curitiba,SP,9,SSD 1TB,Storage,1,700.0,700.0,2026-08-12,completed
231,273,Customer 273,São Paulo,RJ,8,Webcam HD,Accessories,2,350.0,700.0,2026-07-24,completed
232,407,Customer 407,Belo Horizonte,MG,4,Monitor 27,Monitors,3,1800.0,5400.0,2026-06-01,completed
233,457,Customer 457,São Paulo,MG,10,USB Hub,Accessories,4,150.0,600.0,2026-04-07,completed
234,469,Customer 469,São Paulo,DF,10,USB Hub,Accessories,1,150.0,150.0,2026-07-21,completed
235,383,Customer 383,Brasília,PR,3,Monitor 24,Monitors,3,1200.0,3600.0,2026-08-27,completed
236,314,Customer 314,Niterói,SP,5,Keyboard Mechanical,Accessories,2,450.0,900.0,2026-04-25,completed
237,323,Customer 323,Curitiba,RJ,7,Headset Pro,Accessories,1,650.0,650.0,2026-05-25,completed
238,231,Customer 231,Belo Horizonte,BA,6,Mouse Wireless,Accessories,1,180.0,180.0,2026-03-03,completed
239,110,Customer 110,Porto Alegre,DF,7,Headset Pro,Accessories,3,650.0,1950.0,2026-03-10,completed
240,286,Customer 286,Brasília,RS,2,Notebook Air,Computers,1,3800.0,3800.0,2026-07-25,completed
241,169,Customer 169,Niterói,DF,5,Keyboard Mechanical,Accessories,3,450.0,1350.0,2026-01-10,completed
242,118,Customer 118,São Paulo,SP,2,Notebook Air,Computers,2,3800.0,7600.0,2026-07-20,cancelled
243,58,Customer 58,São Paulo,DF,2,Notebook Air,Computers,1,3800.0,3800.0,2026-05-25,completed
244,144,Customer 144,Belo Horizonte,PR,2,Notebook Air,Computers,4,3800.0,15200.0,2026-08-27,completed
245,212,Customer 212,Porto Alegre,PR,5,Keyboard Mechanical,Accessories,2,450.0,900.0,2026-01-07,cancelled
246,145,Customer 145,Brasília,BA,10,USB Hub,Accessories,2,150.0,300.0,2026-08-11,completed
247,69,Customer 69,Rio de Janeiro,RS,6,Mouse Wireless,Accessories,3,180.0,540.0,2026-08-13,completed
248,239,Customer 239,Niterói,BA,9,SSD 1TB,Storage,1,700.0,700.0,2026-03-06,completed
249,56,Customer 56,Rio de Janeiro,PR,8,Webcam HD,Accessories,3,350.0,1050.0,2026-04-19,completed
